T_UTC;T_UTC_in_s;drift_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;2.4485802576996454e-06;0.00010000006556230135
2003-01-07T07:34:44.210526;1041924884.2105263;1.2456574958492836e-05;0.00011832181669239643
2003-01-13T15:09:28.421053;1042470568.4210526;1.3371804977249317e-05;0.00011832181514046806
2003-01-19T22:44:12.631579;1043016252.6315787;1.2237536430439038e-05;0.00011832181700906145
2003-01-26T06:18:56.842105;1043561936.8421053;1.9580163895980482e-05;0.00011832181432220347
2003-02-01T13:53:41.052632;1044107621.0526316;3.963863397303448e-06;0.00011832181224867013
2003-02-07T21:28:25.263158;1044653305.2631578;1.3919505035131645e-05;0.00011832179149736438
2003-02-14T05:03:09.473684;1045198989.4736842;8.589695391317112e-06;0.00011832178304551311
2003-02-20T12:37:53.684210;1045744673.6842103;1.0425306967147494e-05;0.00011832179946587978
2003-02-26T20:12:37.894737;1046290357.8947368;1.4911116855753637e-05;0.00011832178347891538
2003-03-05T03:47:22.105263;1046836042.1052632;1.656814514378784e-05;0.00011832178457418071
2003-03-11T11:22:06.315790;1047381726.3157897;1.0582549467785807e-05;0.00011832178310149434
2003-03-17T18:56:50.526316;1047927410.5263158;1.3432656349315897e-05;0.00011832178323656601
2003-03-24T02:31:34.736842;1048473094.7368422;1.1903214536035378e-05;0.00011832176730972851
2003-03-30T10:06:18.947368;1049018778.9473684;1.3123974143304518e-05;0.00011832177104193849
2003-04-05T17:41:03.157895;1049564463.1578947;1.3356848623552464e-05;0.00011832177077883173
2003-04-12T01:15:47.368421;1050110147.3684213;1.1700821092863745e-05;0.00011832176174104857
2003-04-18T08:50:31.578947;1050655831.5789474;1.1035066869682919e-05;0.00011832175902416102
2003-04-24T16:25:15.789474;1051201515.7894737;1.1376212738167801e-05;0.00011832175967076809
2003-05-01T00:00:00.000000;1051747200.0;1.1074178104870935e-05;0.00011832176003595345
