T_UTC;T_UTC_in_s;drift_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;4.901616779295121e-06;0.00010000003556582912
2003-01-07T07:34:44.210526;1041924884.2105263;1.582159647989267e-05;0.00011832177909423676
2003-01-13T15:09:28.421053;1042470568.4210526;1.5942814455732942e-05;0.00011832177731781451
2003-01-19T22:44:12.631579;1043016252.6315787;1.6091212662032246e-05;0.00011832177948089162
2003-01-26T06:18:56.842105;1043561936.8421053;1.8411269565990275e-05;0.00011832177743450369
2003-02-01T13:53:41.052632;1044107621.0526316;1.0500216888580756e-05;0.00011832177530286556
2003-02-07T21:28:25.263158;1044653305.2631578;1.4122467770688028e-05;0.0001183217551339254
2003-02-14T05:03:09.473684;1045198989.4736842;1.06104816465636e-05;0.00011832174570750632
2003-02-20T12:37:53.684210;1045744673.6842103;1.4173852609475315e-05;0.00011832176002951199
2003-02-26T20:12:37.894737;1046290357.8947368;1.4094908335315903e-05;0.00011832174480979116
2003-03-05T03:47:22.105263;1046836042.1052632;1.5429233692946034e-05;0.00011832174565811318
2003-03-11T11:22:06.315790;1047381726.3157897;1.5134020554141703e-05;0.00011832174405205123
2003-03-17T18:56:50.526316;1047927410.5263158;1.3434045217378121e-05;0.00011832174432049869
2003-03-24T02:31:34.736842;1048473094.7368422;1.4850913600636395e-05;0.00011832172893244877
2003-03-30T10:06:18.947368;1049018778.9473684;1.2281377340037092e-05;0.0001183217305570564
2003-04-05T17:41:03.157895;1049564463.1578947;1.3588994778164498e-05;0.00011832173184559895
2003-04-12T01:15:47.368421;1050110147.3684213;1.2671114845055897e-05;0.0001183217244281347
2003-04-18T08:50:31.578947;1050655831.5789474;1.2301311922521818e-05;0.00011832172162673205
2003-04-24T16:25:15.789474;1051201515.7894737;1.2526919098213019e-05;0.00011832172329808799
2003-05-01T00:00:00.000000;1051747200.0;1.1995402005381128e-05;0.00011832172349363046
