T_UTC;T_UTC_in_s;drift_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;-5.721817854071392e-07;0.00010000005957147767
2003-01-07T07:34:44.210526;1041924884.2105263;9.069022791657222e-06;0.0001183218089424434
2003-01-13T15:09:28.421053;1042470568.4210526;1.4483934067632582e-05;0.00011832180684116369
2003-01-19T22:44:12.631579;1043016252.6315787;1.2246918733559313e-05;0.0001183218093396623
2003-01-26T06:18:56.842105;1043561936.8421053;1.3354186013534665e-05;0.00011832180630946061
2003-02-01T13:53:41.052632;1044107621.0526316;7.744243302082305e-06;0.00011832180350169703
2003-02-07T21:28:25.263158;1044653305.2631578;1.2379666870751655e-05;0.00011832178355988764
2003-02-14T05:03:09.473684;1045198989.4736842;8.993289366080571e-06;0.00011832177385218884
2003-02-20T12:37:53.684210;1045744673.6842103;9.874539412961057e-06;0.00011832178998071556
2003-02-26T20:12:37.894737;1046290357.8947368;1.1203065998194317e-05;0.00011832177500001092
2003-03-05T03:47:22.105263;1046836042.1052632;1.002605054258466e-05;0.00011832177569514891
2003-03-11T11:22:06.315790;1047381726.3157897;9.293889856348825e-06;0.00011832177369424068
2003-03-17T18:56:50.526316;1047927410.5263158;1.099294576563381e-05;0.00011832177430074988
2003-03-24T02:31:34.736842;1048473094.7368422;1.0140166970151743e-05;0.00011832175891533656
2003-03-30T10:06:18.947368;1049018778.9473684;8.581568792909167e-06;0.00011832176085423592
2003-04-05T17:41:03.157895;1049564463.1578947;1.048737486705753e-05;0.00011832176116556984
2003-04-12T01:15:47.368421;1050110147.3684213;9.389904507765834e-06;0.00011832175229681724
2003-04-18T08:50:31.578947;1050655831.5789474;9.638386986379754e-06;0.00011832175002363363
2003-04-24T16:25:15.789474;1051201515.7894737;1.0193073513437012e-05;0.00011832175101358469
2003-05-01T00:00:00.000000;1051747200.0;1.0240057033039651e-05;0.00011832175115536449
