T_UTC;T_UTC_in_s;drift_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;-7.4985895693908695e-06;4.89899355175954e-05
2003-01-07T07:34:44.210526;1041924884.2105263;-1.110131090530389e-06;4.8989826974247695e-05
2003-01-13T15:09:28.421053;1042470568.4210526;1.8201681897875582e-06;4.898982733787265e-05
2003-01-19T22:44:12.631579;1043016252.6315787;1.3548854815511215e-06;4.898982877612418e-05
2003-01-26T06:18:56.842105;1043561936.8421053;2.8686762072759074e-06;4.898982756570615e-05
2003-02-01T13:53:41.052632;1044107621.0526316;-2.2691447954430685e-06;4.898982676480448e-05
2003-02-07T21:28:25.263158;1044653305.2631578;2.9891373892631684e-06;4.8989809965047894e-05
2003-02-14T05:03:09.473684;1045198989.4736842;8.131683137237224e-08;4.898980128401749e-05
2003-02-20T12:37:53.684210;1045744673.6842103;6.06597714555856e-08;4.898981470654384e-05
2003-02-26T20:12:37.894737;1046290357.8947368;5.610615842754907e-07;4.898980198875611e-05
2003-03-05T03:47:22.105263;1046836042.1052632;2.413984712533023e-06;4.898980335412397e-05
2003-03-11T11:22:06.315790;1047381726.3157897;1.1409586775923408e-06;4.898980236048468e-05
2003-03-17T18:56:50.526316;1047927410.5263158;6.957111210598166e-07;4.8989801912993184e-05
2003-03-24T02:31:34.736842;1048473094.7368422;1.2919859338073048e-06;4.898979019419455e-05
2003-03-30T10:06:18.947368;1049018778.9473684;-8.797270071650432e-07;4.8989791514475864e-05
2003-04-05T17:41:03.157895;1049564463.1578947;3.0571396954226504e-07;4.898979265800453e-05
2003-04-12T01:15:47.368421;1050110147.3684213;-1.1931629102582275e-06;4.8989786201176076e-05
2003-04-18T08:50:31.578947;1050655831.5789474;-4.010564532280769e-07;4.898978482188113e-05
2003-04-24T16:25:15.789474;1051201515.7894737;1.624727341761889e-07;4.898978658069344e-05
2003-05-01T00:00:00.000000;1051747200.0;-5.051232725775123e-07;4.898978490491032e-05
