T_UTC;T_UTC_in_s;drift_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;4.5264175942273695e-06;0.00010000010053585437
2003-01-07T07:34:44.210526;1041924884.2105263;8.030480486176413e-06;0.00011832185209487885
2003-01-13T15:09:28.421053;1042470568.4210526;1.289249663274002e-05;0.0001183218513035902
2003-01-19T22:44:12.631579;1043016252.6315787;1.1966615995427828e-05;0.00011832185156770891
2003-01-26T06:18:56.842105;1043561936.8421053;9.220412379989795e-06;0.00011832184896008453
2003-02-01T13:53:41.052632;1044107621.0526316;1.0217516118873014e-05;0.00011832184719688123
2003-02-07T21:28:25.263158;1044653305.2631578;1.0984945768420372e-05;0.00011832182893614689
2003-02-14T05:03:09.473684;1045198989.4736842;8.218194431917369e-06;0.00011832182025848263
2003-02-20T12:37:53.684210;1045744673.6842103;1.1905567704715682e-05;0.00011832183286772624
2003-02-26T20:12:37.894737;1046290357.8947368;7.945532054992599e-06;0.00011832181965525046
2003-03-05T03:47:22.105263;1046836042.1052632;9.261097115703491e-06;0.00011832181642041896
2003-03-11T11:22:06.315790;1047381726.3157897;1.2230362361524694e-05;0.00011832181813819152
2003-03-17T18:56:50.526316;1047927410.5263158;1.213278814025942e-05;0.00011832181814384927
2003-03-24T02:31:34.736842;1048473094.7368422;1.0512261702684544e-05;0.00011832180326949558
2003-03-30T10:06:18.947368;1049018778.9473684;8.061257098221364e-06;0.00011832180503540159
2003-04-05T17:41:03.157895;1049564463.1578947;1.1247301563661882e-05;0.00011832180608756536
2003-04-12T01:15:47.368421;1050110147.3684213;1.1300025786219192e-05;0.00011832179854729183
2003-04-18T08:50:31.578947;1050655831.5789474;1.1314344164160828e-05;0.00011832179682346006
2003-04-24T16:25:15.789474;1051201515.7894737;1.1889579510038217e-05;0.00011832179832578557
2003-05-01T00:00:00.000000;1051747200.0;1.1684200632564035e-05;0.00011832179797707611
