T_UTC;T_UTC_in_s;drift_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;2.5871951640955528e-05;0.00010000001556881389
2003-01-07T07:34:44.210526;1041924884.2105263;6.1421498414771385;0.00011832175587655557
2003-01-13T15:09:28.421053;1042470568.4210526;9.694027727287983;0.00011832175415691745
2003-01-19T22:44:12.631579;1043016252.6315787;9.157759370923975;0.00011832175527411565
2003-01-26T06:18:56.842105;1043561936.8421053;4.759499565026748;0.00011832175245916555
2003-02-01T13:53:41.052632;1044107621.0526316;-1.6459256302143483;0.00011832175070388505
2003-02-07T21:28:25.263158;1044653305.2631578;-7.357210762496263;0.00011832172968715
2003-02-14T05:03:09.473684;1045198989.4736842;-9.965822650257065;0.00011832172036637549
2003-02-20T12:37:53.684210;1045744673.6842103;-8.371636684962086;0.00011832173689370503
2003-02-26T20:12:37.894737;1046290357.8947368;-3.24696601707481;0.0001183217221124074
2003-03-05T03:47:22.105263;1046836042.1052632;3.2470248315624897;0.0001183217223928919
2003-03-11T11:22:06.315790;1047381726.3157897;8.371686211213373;0.00011832172120280392
2003-03-17T18:56:50.526316;1047927410.5263158;9.965871195211214;0.00011832172092454232
2003-03-24T02:31:34.736842;1048473094.7368422;7.357259150202749;0.0001183217052552146
2003-03-30T10:06:18.947368;1049018778.9473684;1.6459604503037417;0.0001183217067966273
2003-04-05T17:41:03.157895;1049564463.1578947;-4.759449459064528;0.00011832170760713008
2003-04-12T01:15:47.368421;1050110147.3684213;-9.157708787370346;0.00011832170377364444
2003-04-18T08:50:31.578947;1050655831.5789474;-9.693977511325171;0.00011832169738033982
2003-04-24T16:25:15.789474;1051201515.7894737;-6.142102339450624;0.0001183216983069044
2003-05-01T00:00:00.000000;1051747200.0;2.428952800548334e-05;0.0001183216984385506
