T_UTC;T_UTC_in_s;drift_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;-8.34181310337376e-06;4.898993953412901e-05
2003-01-07T07:34:44.210526;1041924884.2105263;4.2018366484688657e-07;4.898982694573241e-05
2003-01-13T15:09:28.421053;1042470568.4210526;1.7045915332020903e-06;4.898982723456543e-05
2003-01-19T22:44:12.631579;1043016252.6315787;1.5923325749103709e-06;4.8989828620828767e-05
2003-01-26T06:18:56.842105;1043561936.8421053;5.191122751168686e-07;4.89898274821103e-05
2003-02-01T13:53:41.052632;1044107621.0526316;-3.923826507400333e-07;4.898982677354316e-05
2003-02-07T21:28:25.263158;1044653305.2631578;3.1818056186392405e-08;4.898981020295183e-05
2003-02-14T05:03:09.473684;1045198989.4736842;2.5722713248873796e-07;4.8989801138552214e-05
2003-02-20T12:37:53.684210;1045744673.6842103;9.95647707341073e-08;4.898981463857924e-05
2003-02-26T20:12:37.894737;1046290357.8947368;7.700567112439716e-07;4.8989801981074785e-05
2003-03-05T03:47:22.105263;1046836042.1052632;1.0596071269015732e-06;4.898980323720432e-05
2003-03-11T11:22:06.315790;1047381726.3157897;1.3573841731520653e-06;4.898980228853643e-05
2003-03-17T18:56:50.526316;1047927410.5263158;9.810543545735184e-07;4.89898017977005e-05
2003-03-24T02:31:34.736842;1048473094.7368422;-7.15398362494124e-08;4.8989790194362615e-05
2003-03-30T10:06:18.947368;1049018778.9473684;-9.870045614146505e-08;4.898979155530876e-05
2003-04-05T17:41:03.157895;1049564463.1578947;9.283274296500998e-08;4.898979282960447e-05
2003-04-12T01:15:47.368421;1050110147.3684213;-6.631875826279554e-07;4.8989786725731546e-05
2003-04-18T08:50:31.578947;1050655831.5789474;-6.436324042416453e-07;4.898978523498759e-05
2003-04-24T16:25:15.789474;1051201515.7894737;-6.096020630230736e-07;4.89897863582724e-05
2003-05-01T00:00:00.000000;1051747200.0;-4.859135753210175e-07;4.898978538224943e-05
