T_UTC;T_UTC_in_s;drift_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;-7.4729697240555045e-06;4.898994011020814e-05
2003-01-07T07:34:44.210526;1041924884.2105263;9.720269339118034e-07;4.898982558900454e-05
2003-01-13T15:09:28.421053;1042470568.4210526;1.1724507861431462e-06;4.898982717147574e-05
2003-01-19T22:44:12.631579;1043016252.6315787;1.3357377418276164e-06;4.898982855136016e-05
2003-01-26T06:18:56.842105;1043561936.8421053;4.4176332019967566e-07;4.898982739742486e-05
2003-02-01T13:53:41.052632;1044107621.0526316;-2.8019207434015822e-08;4.8989826796023e-05
2003-02-07T21:28:25.263158;1044653305.2631578;-1.2654121270052748e-07;4.89898100940269e-05
2003-02-14T05:03:09.473684;1045198989.4736842;3.284879210407e-07;4.8989801092140474e-05
2003-02-20T12:37:53.684210;1045744673.6842103;-8.987807931612249e-08;4.8989814510517594e-05
2003-02-26T20:12:37.894737;1046290357.8947368;6.959264036848767e-07;4.898980186959846e-05
2003-03-05T03:47:22.105263;1046836042.1052632;1.347159383460056e-06;4.898980312190068e-05
2003-03-11T11:22:06.315790;1047381726.3157897;1.5252321339948027e-06;4.898980222298808e-05
2003-03-17T18:56:50.526316;1047927410.5263158;1.0526950716127637e-06;4.8989801681313735e-05
2003-03-24T02:31:34.736842;1048473094.7368422;1.318014356543884e-07;4.8989790092775094e-05
2003-03-30T10:06:18.947368;1049018778.9473684;-5.4864232282292313e-08;4.898979142590929e-05
2003-04-05T17:41:03.157895;1049564463.1578947;3.4841114809197604e-07;4.898979276884173e-05
2003-04-12T01:15:47.368421;1050110147.3684213;-7.070173742920738e-07;4.8989786532730095e-05
2003-04-18T08:50:31.578947;1050655831.5789474;-6.467747201144292e-07;4.8989785161364576e-05
2003-04-24T16:25:15.789474;1051201515.7894737;-6.024060254725128e-07;4.8989786284699135e-05
2003-05-01T00:00:00.000000;1051747200.0;-4.710525306761415e-07;4.898978515201657e-05
