T_UTC;T_UTC_in_s;delay_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;1.6611175904019769e-21;1.1457208756858268e-06
2003-01-07T07:34:44.210526;1041924884.2105263;2.7325234316216646e-08;1.2253420078444973e-06
2003-01-13T15:09:28.421053;1042470568.4210526;1.5615203075818982e-07;1.2640365680610274e-06
2003-01-19T22:44:12.631579;1043016252.6315787;1.0799051628420998e-07;1.2711626465615858e-06
2003-01-26T06:18:56.842105;1043561936.8421053;6.528020056134966e-08;1.2704519869515787e-06
2003-02-01T13:53:41.052632;1044107621.0526316;1.729390520803515e-08;1.2684611175439543e-06
2003-02-07T21:28:25.263158;1044653305.2631578;2.2410835834076258e-07;1.2650377759596632e-06
2003-02-14T05:03:09.473684;1045198989.4736842;-4.890557887100902e-08;1.2642948026467e-06
2003-02-20T12:37:53.684210;1045744673.6842103;-1.661638152164488e-08;1.2806688372078869e-06
2003-02-26T20:12:37.894737;1046290357.8947368;2.247539938738332e-07;1.2679596838373695e-06
2003-03-05T03:47:22.105263;1046836042.1052632;-2.2981447524079525e-09;1.2539596100479448e-06
2003-03-11T11:22:06.315790;1047381726.3157897;2.6555665762967344e-07;1.2629198278776647e-06
2003-03-17T18:56:50.526316;1047927410.5263158;-5.340192455676669e-08;1.2577901678785392e-06
2003-03-24T02:31:34.736842;1048473094.7368422;-4.787569923495033e-08;1.255460477222968e-06
2003-03-30T10:06:18.947368;1049018778.9473684;-5.769424181266163e-08;1.2658006596530505e-06
2003-04-05T17:41:03.157895;1049564463.1578947;-1.930132575706033e-09;1.257944382261986e-06
2003-04-12T01:15:47.368421;1050110147.3684213;1.087271433357173e-07;1.2403221179746565e-06
2003-04-18T08:50:31.578947;1050655831.5789474;3.339761238531155e-08;1.2621954566250512e-06
2003-04-24T16:25:15.789474;1051201515.7894737;-1.2281167410684794e-08;1.264621431034728e-06
2003-05-01T00:00:00.000000;1051747200.0;2.470219167639081e-07;1.2680244367631238e-06
