T_UTC;T_UTC_in_s;drift_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;-9.88599782343241e-06;4.8989938411944466e-05
2003-01-07T07:34:44.210526;1041924884.2105263;1.6168130352188226e-06;4.898982697225425e-05
2003-01-13T15:09:28.421053;1042470568.4210526;2.4226159353221666e-06;4.8989827345288485e-05
2003-01-19T22:44:12.631579;1043016252.6315787;1.4142210381334922e-06;4.898982871943197e-05
2003-01-26T06:18:56.842105;1043561936.8421053;4.2488637860275376e-07;4.898982748669894e-05
2003-02-01T13:53:41.052632;1044107621.0526316;-3.7513190499341826e-07;4.898982678259725e-05
2003-02-07T21:28:25.263158;1044653305.2631578;-1.8490499149680353e-07;4.8989810109943105e-05
2003-02-14T05:03:09.473684;1045198989.4736842;1.570700600234134e-07;4.898980118970596e-05
2003-02-20T12:37:53.684210;1045744673.6842103;-2.2538372591334346e-07;4.898981458894705e-05
2003-02-26T20:12:37.894737;1046290357.8947368;5.375807265589616e-07;4.8989802055192425e-05
2003-03-05T03:47:22.105263;1046836042.1052632;1.2783831574519032e-06;4.898980321500083e-05
2003-03-11T11:22:06.315790;1047381726.3157897;1.4569508410347543e-06;4.898980236137826e-05
2003-03-17T18:56:50.526316;1047927410.5263158;1.0429417055118906e-06;4.898980186941537e-05
2003-03-24T02:31:34.736842;1048473094.7368422;1.7420877428120374e-07;4.8989790170393724e-05
2003-03-30T10:06:18.947368;1049018778.9473684;-1.019978609420602e-06;4.898979152496109e-05
2003-04-05T17:41:03.157895;1049564463.1578947;-4.435323906759603e-09;4.89897928260481e-05
2003-04-12T01:15:47.368421;1050110147.3684213;-8.933744465311477e-07;4.898978660372616e-05
2003-04-18T08:50:31.578947;1050655831.5789474;-9.637493797315377e-07;4.8989785127114826e-05
2003-04-24T16:25:15.789474;1051201515.7894737;-1.0213104493506098e-06;4.8989786268855594e-05
2003-05-01T00:00:00.000000;1051747200.0;-7.091953747526136e-07;4.898978524410013e-05
