T_UTC;T_UTC_in_s;drift_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;-7.0535524233707705e-06;4.89899382628175e-05
2003-01-07T07:34:44.210526;1041924884.2105263;1.965787307890235e-06;4.898982702627686e-05
2003-01-13T15:09:28.421053;1042470568.4210526;2.1547074671485687e-06;4.898982723696843e-05
2003-01-19T22:44:12.631579;1043016252.6315787;2.0410775102219343e-06;4.8989828559124e-05
2003-01-26T06:18:56.842105;1043561936.8421053;1.2145672579661966e-06;4.8989827408827395e-05
2003-02-01T13:53:41.052632;1044107621.0526316;8.063891984250298e-07;4.8989826970406285e-05
2003-02-07T21:28:25.263158;1044653305.2631578;3.41079181106266e-07;4.898981015518391e-05
2003-02-14T05:03:09.473684;1045198989.4736842;5.327605857664174e-07;4.898980088028085e-05
2003-02-20T12:37:53.684210;1045744673.6842103;2.0916953793515278e-07;4.898981456912328e-05
2003-02-26T20:12:37.894737;1046290357.8947368;9.056931055545503e-07;4.898980193458225e-05
2003-03-05T03:47:22.105263;1046836042.1052632;1.1284807088923765e-06;4.8989803196452776e-05
2003-03-11T11:22:06.315790;1047381726.3157897;1.77634663522247e-06;4.8989802370259394e-05
2003-03-17T18:56:50.526316;1047927410.5263158;1.6423568472354044e-06;4.898980184638069e-05
2003-03-24T02:31:34.736842;1048473094.7368422;3.7091175886239114e-07;4.898979021497514e-05
2003-03-30T10:06:18.947368;1049018778.9473684;1.255792289669988e-07;4.898979148725494e-05
2003-04-05T17:41:03.157895;1049564463.1578947;7.220933614104919e-07;4.8989792786747256e-05
2003-04-12T01:15:47.368421;1050110147.3684213;1.001507780387656e-07;4.898978639126351e-05
2003-04-18T08:50:31.578947;1050655831.5789474;-2.6325356803497124e-07;4.898978511480188e-05
2003-04-24T16:25:15.789474;1051201515.7894737;-9.784158159359402e-08;4.8989786324552103e-05
2003-05-01T00:00:00.000000;1051747200.0;-4.274965865885827e-07;4.8989785249148706e-05
