T_UTC;T_UTC_in_s;drift_in_s;std_in_s
2003-01-01T00:00:00.000000;1041379200.0;-5.721734404729893e-07;0.0001000001065453821
2003-01-07T07:34:44.210526;1041924884.2105263;1.5789595473018132;0.00011832186234667999
2003-01-13T15:09:28.421053;1042470568.4210526;3.1579152648825337;0.00011832186084097064
2003-01-19T22:44:12.631579;1043016252.6315787;4.736860189170396;0.00011832186266862689
2003-01-26T06:18:56.842105;1043561936.8421053;6.315806165008512;0.00011832185883420596
2003-02-01T13:53:41.052632;1044107621.0526316;7.894744175885534;0.00011832185950478601
2003-02-07T21:28:25.263158;1044653305.2631578;9.473696369312233;0.00011832183761384338
2003-02-14T05:03:09.473684;1045198989.4736842;11.0526412091342;0.00011832182963343142
2003-02-20T12:37:53.684210;1045744673.6842103;12.631588960678066;0.0001183218440861703
2003-02-26T20:12:37.894737;1046290357.8947368;14.210541843666409;0.00011832182895624773
2003-03-05T03:47:22.105263;1046836042.1052632;15.789493905821468;0.00011832182863323732
2003-03-11T11:22:06.315790;1047381726.3157897;17.36843480111503;0.0001183218279885389
2003-03-17T18:56:50.526316;1047927410.5263158;18.947385457325694;0.00011832182845507004
2003-03-24T02:31:34.736842;1048473094.7368422;20.5263321987757;0.00011832181315813708
2003-03-30T10:06:18.947368;1049018778.9473684;22.105282212497308;0.00011832181480915498
2003-04-05T17:41:03.157895;1049564463.1578947;23.68422714538739;0.0001183218157728419
2003-04-12T01:15:47.368421;1050110147.3684213;25.2631691344783;0.00011832180797770061
2003-04-18T08:50:31.578947;1050655831.5789474;26.84211773596776;0.00011832180577318734
2003-04-24T16:25:15.789474;1051201515.7894737;28.421063261621896;0.00011832180710648212
2003-05-01T00:00:00.000000;1051747200.0;30.00001044307858;0.00011832180729495625
